       x:             u(x):          v(x):        log10(RelativeError):   
     0.39860140     0.58345451     -397.98189     -2.9792140
     0.39960040     0.58263603     -398.98184     -2.9815651
     0.40059940     0.58181573     -399.98179     -2.9839273
     0.40159840     0.58099362     -400.98175     -2.9863008
     0.40259740     0.58016971     -401.98170     -2.9886857
     0.40359640     0.57934404     -402.98166     -2.9910823
     0.40459540     0.57851661     -403.98161     -2.9934907
     0.40559441     0.57768745     -404.98157     -2.9959111
     0.40659341     0.57685657     -405.98152     -2.9983437
     0.40759241     0.57602398     -406.98148     -3.0007886
     0.40859141     0.57518971     -407.98143     -3.0032461
     0.40959041     0.57435378     -408.98139     -3.0057164
     0.41058941     0.57351619     -409.98134     -3.0081996
     0.41158841     0.57267696     -410.98130     -3.0106959
     0.41258741     0.57183612     -411.98125     -3.0132056
     0.41358641     0.57099367     -412.98120     -3.0157289
     0.41458541     0.57014964     -413.98116     -3.0182659
     0.41558442     0.56930404     -414.98111     -3.0208169
     0.41658342     0.56845688     -415.98107     -3.0233821
     0.41758242     0.56760818     -416.98102     -3.0259618
     0.41858142     0.56675796     -417.98098     -3.0285561
     0.41958042     0.56590623     -418.98093     -3.0311652
     0.42057942     0.56505301     -419.98089     -3.0337895
     0.42157842     0.56419830     -420.98084     -3.0364292
     0.42257742     0.56334213     -421.98080     -3.0390845
     0.42357642     0.56248452     -422.98075     -3.0417556
     0.42457542     0.56162546     -423.98071     -3.0444428
     0.42557443     0.56076499     -424.98066     -3.0471464
     0.42657343     0.55990311     -425.98061     -3.0498666
     0.42757243     0.55903984     -426.98057     -3.0526038
     0.42857143     0.55817518     -427.98052     -3.0553581
     0.42957043     0.55730917     -428.98048     -3.0581298
     0.43056943     0.55644180     -429.98043     -3.0609193
     0.43156843     0.55557309     -430.98039     -3.0637269
     0.43256743     0.55470306     -431.98034     -3.0665527
     0.43356643     0.55383172     -432.98030     -3.0693973
     0.43456543     0.55295908     -433.98025     -3.0722607
     0.43556444     0.55208515     -434.98021     -3.0751435
     0.43656344     0.55120995     -435.98016     -3.0780458
     0.43756244     0.55033349     -436.98011     -3.0809680
     0.43856144     0.54945579     -437.98007     -3.0839105
     0.43956044     0.54857685     -438.98002     -3.0868736
     0.44055944     0.54769668     -439.97998     -3.0898577
     0.44155844     0.54681531     -440.97993     -3.0928630
     0.44255744     0.54593274     -441.97989     -3.0958901
     0.44355644     0.54504898     -442.97984     -3.0989392
     0.44455544     0.54416405     -443.97980     -3.1020108
     0.44555445     0.54327795     -444.97975     -3.1051052
     0.44655345     0.54239070     -445.97971     -3.1082229
     0.44755245     0.54150232     -446.97966     -3.1113643
     0.44855145     0.54061280     -447.97962     -3.1145297
     0.44955045     0.53972217     -448.97957     -3.1177196
     0.45054945     0.53883044     -449.97952     -3.1209345
     0.45154845     0.53793760     -450.97948     -3.1241748
     0.45254745     0.53704369     -451.97943     -3.1274410
     0.45354645     0.53614870     -452.97939     -3.1307336
     0.45454545     0.53525265     -453.97934     -3.1340530
     0.45554446     0.53435555     -454.97930     -3.1373997
     0.45654346     0.53345740     -455.97925     -3.1407743
     0.45754246     0.53255823     -456.97921     -3.1441773
     0.45854146     0.53165803     -457.97916     -3.1476092
     0.45954046     0.53075683     -458.97912     -3.1510706
     0.46053946     0.52985462     -459.97907     -3.1545620
     0.46153846     0.52895142     -460.97903     -3.1580840
     0.46253746     0.52804725     -461.97898     -3.1616373
     0.46353646     0.52714210     -462.97893     -3.1652224
     0.46453546     0.52623599     -463.97889     -3.1688400
     0.46553447     0.52532893     -464.97884     -3.1724907
     0.46653347     0.52442093     -465.97880     -3.1761752
     0.46753247     0.52351200     -466.97875     -3.1798942
     0.46853147     0.52260214     -467.97871     -3.1836483
     0.46953047     0.52169137     -468.97866     -3.1874384
     0.47052947     0.52077969     -469.97862     -3.1912650
     0.47152847     0.51986712     -470.97857     -3.1951291
     0.47252747     0.51895366     -471.97853     -3.1990314
     0.47352647     0.51803933     -472.97848     -3.2029727
     0.47452547     0.51712412     -473.97844     -3.2069538
     0.47552448     0.51620806     -474.97839     -3.2109757
     0.47652348     0.51529114     -475.97834     -3.2150391
     0.47752248     0.51437338     -476.97830     -3.2191450
     0.47852148     0.51345478     -477.97825     -3.2232944
     0.47952048     0.51253536     -478.97821     -3.2274882
     0.48051948     0.51161512     -479.97816     -3.2317275
     0.48151848     0.51069407     -480.97812     -3.2360132
     0.48251748     0.50977221     -481.97807     -3.2403464
     0.48351648     0.50884957     -482.97803     -3.2447283
     0.48451548     0.50792613     -483.97798     -3.2491599
     0.48551449     0.50700192     -484.97794     -3.2536425
     0.48651349     0.50607694     -485.97789     -3.2581773
     0.48751249     0.50515119     -486.97784     -3.2627656
     0.48851149     0.50422469     -487.97780     -3.2674085
     0.48951049     0.50329744     -488.97775     -3.2721076
     0.49050949     0.50236946     -489.97771     -3.2768642
     0.49150849     0.50144073     -490.97766     -3.2816797
     0.49250749     0.50051129     -491.97762     -3.2865557
